student_id,age,gender,study_hours_per_day,smartphone_usage_hours,social_media_hours,gaming_hours,streaming_hours,sleep_hours,class_attendance_percent,assignment_completion_percent,mental_health_status,final_exam_score,digital_distraction_time
18,20,Male,3.45,1.72,0.0,2.01,1.42,9.03,94.18,93.31,Average,72.83,5.1499999999999995
19,22,Male,5.17,4.2,2.87,0.83,2.19,8.12,91.34,94.81,Average,75.26,10.09
20,25,Male,3.97,3.78,2.43,0.0,2.31,6.5,88.65,72.37,Average,85.08,8.52
21,25,Male,5.19,3.21,4.17,1.58,2.77,5.57,87.67,88.48,Average,87.0,11.73
22,24,Male,6.23,5.2,4.29,3.11,2.53,9.06,72.57,82.98,Good,100.0,15.129999999999999
23,22,Male,0.03,1.06,2.25,3.76,1.26,7.86,80.56,100.0,Average,93.42,8.33
24,17,Female,7.11,7.02,4.4,0.0,0.31,6.29,95.62,80.8,Poor,100.0,11.73
25,17,Male,6.99,2.4,4.32,0.71,0.0,8.48,100.0,63.11,Poor,83.67,7.43
26,19,Female,5.46,6.29,2.87,3.57,3.11,9.22,100.0,95.18,Average,90.09,15.84
27,25,Male,4.81,5.96,2.84,2.44,3.06,8.96,79.43,89.46,Average,75.01,14.3
28,23,Female,4.37,2.45,2.43,5.12,1.93,5.25,82.08,59.24,Good,99.81,11.93
29,21,Male,1.77,3.25,3.4,1.48,0.06,8.43,100.0,58.66,Average,68.12,8.19
30,24,Male,3.3,5.08,3.49,3.87,0.12,8.62,85.58,100.0,Good,95.05,12.56
31,20,Female,2.03,8.3,3.78,2.3,0.86,4.74,86.77,93.67,Average,37.66,15.240000000000002
32,20,Male,5.57,9.47,0.75,2.12,2.36,7.68,90.9,66.76,Average,95.99,14.700000000000001
33,25,Male,1.53,5.23,0.0,1.59,1.82,8.62,86.02,93.38,Average,64.89,8.64
34,20,Male,2.25,6.21,2.52,1.86,1.16,7.36,80.62,62.68,Poor,54.89,11.75
35,17,Female,1.82,7.52,1.38,2.91,2.4,8.55,85.44,100.0,Good,82.36,14.209999999999999
36,18,Male,2.33,6.75,2.76,3.08,2.41,5.06,91.24,70.02,Average,52.22,15.0
37,17,Male,4.63,6.62,4.0,0.35,0.05,7.93,96.18,44.64,Poor,58.19,11.02
38,17,Male,5.63,5.29,1.05,0.0,1.06,7.34,81.47,60.32,Good,97.98,7.4
39,23,Male,5.18,7.41,3.05,4.41,1.19,8.52,81.09,60.48,Good,98.59,16.060000000000002
40,24,Female,5.19,6.0,0.77,0.54,1.53,7.59,100.0,53.92,Good,100.0,8.84
41,24,Female,6.13,6.64,1.9,2.42,3.45,6.02,96.86,81.52,Good,100.0,14.41
42,20,Female,6.04,2.11,1.17,1.79,2.27,7.14,88.69,76.91,Good,100.0,7.34
43,17,Male,4.38,0.73,8.48,5.14,2.79,6.33,100.0,93.86,Good,95.65,17.14
44,24,Male,3.67,8.08,2.7,3.81,2.05,6.8,87.37,68.16,Good,83.75,16.64
45,24,Male,0.0,0.06,4.7,1.02,3.31,9.41,92.68,66.29,Good,41.61,9.090000000000002
46,24,Female,2.21,3.56,5.8,2.61,2.15,5.69,78.88,91.98,Poor,75.85,14.120000000000001
47,17,Male,0.0,10.72,5.83,0.0,1.74,5.03,89.14,60.26,Good,34.26,18.29
48,22,Male,4.75,5.95,4.26,2.7,3.41,7.4,88.18,93.36,Good,83.72,16.32
49,21,Female,3.81,5.77,4.8,0.0,0.86,5.8,94.17,79.47,Good,100.0,11.43
50,20,Female,4.61,7.65,2.19,1.6,1.51,7.73,69.01,81.12,Good,92.63,12.95
51,18,Female,0.65,7.47,7.5,1.71,1.69,7.66,87.41,72.23,Average,51.44,18.37
52,20,Male,2.64,5.23,1.32,0.0,3.24,5.4,81.02,82.57,Good,74.27,9.790000000000001
53,18,Female,6.62,6.55,3.15,3.86,3.49,6.81,64.89,64.32,Good,98.75,17.05
54,20,Male,0.95,5.33,1.46,4.13,1.14,4.36,90.25,78.54,Poor,45.15,12.059999999999999
55,21,Male,2.55,2.39,3.45,1.59,0.28,8.56,76.79,58.02,Good,80.23,7.710000000000001
56,20,Male,4.69,4.49,4.34,0.69,1.62,3.5,71.55,30.0,Average,73.31,11.14
57,18,Male,7.03,5.56,3.82,3.08,1.79,7.28,86.99,84.07,Average,100.0,14.25
58,22,Male,7.29,7.97,2.3,0.0,1.74,5.36,68.08,75.34,Average,100.0,12.01
59,18,Male,5.13,0.75,2.47,2.35,0.75,9.39,92.29,67.24,Average,100.0,6.32
60,19,Male,3.87,6.35,1.15,3.79,2.31,10.0,87.84,77.24,Average,75.8,13.6
61,20,Female,5.62,4.87,2.61,0.35,2.45,4.97,81.99,38.62,Average,74.05,10.280000000000001
62,19,Male,3.33,8.5,3.94,4.07,0.85,8.7,88.99,87.48,Average,66.97,17.36
63,19,Female,4.43,5.74,4.04,1.81,1.2,7.7,100.0,100.0,Good,94.2,12.79
64,22,Male,3.67,5.48,1.69,3.36,2.72,6.92,78.14,78.77,Average,100.0,13.25
65,24,Female,6.15,7.9,4.79,3.71,1.05,8.05,98.2,84.4,Average,100.0,17.450000000000003
66,20,Female,0.2,7.85,3.32,5.56,1.5,8.9,68.39,88.33,Average,39.11,18.229999999999997
67,17,Female,2.61,4.43,1.73,0.29,0.07,5.59,91.59,78.37,Good,92.83,6.52
68,20,Female,5.39,9.45,4.41,3.13,0.55,6.64,75.6,98.27,Good,65.7,17.54
69,21,Female,5.82,4.56,3.62,1.89,1.62,5.87,87.45,83.99,Good,91.68,11.69
70,22,Female,4.33,4.36,0.8,0.0,1.63,9.01,90.59,96.82,Poor,80.18,6.79
71,20,Female,6.99,6.64,5.64,2.56,2.71,7.13,76.04,69.26,Poor,85.64,17.55
72,17,Male,3.63,6.45,4.32,3.28,0.28,7.76,91.15,76.56,Good,100.0,14.33
73,21,Female,3.5,6.88,3.98,1.8,1.07,5.91,83.86,86.24,Average,80.56,13.73
74,25,Female,2.59,1.86,2.98,2.13,0.58,7.31,100.0,83.93,Average,88.53,7.55
75,23,Male,4.19,5.7,1.66,2.98,3.75,6.87,88.56,83.64,Poor,100.0,14.09
76,24,Male,7.34,6.87,3.71,2.13,2.03,6.16,87.91,96.27,Average,100.0,14.739999999999998
77,19,Female,6.86,12.11,6.47,0.3,1.8,9.04,75.39,71.54,Average,91.37,20.68
78,24,Male,5.76,6.35,4.16,1.6,0.69,8.25,75.06,70.7,Good,83.08,12.799999999999999
79,20,Female,3.76,3.2,5.67,4.31,3.37,10.0,85.68,64.52,Average,89.47,16.55
80,25,Male,4.21,4.52,3.99,1.79,1.19,9.33,79.99,71.18,Poor,56.78,11.49
81,23,Male,3.73,5.33,1.97,3.28,4.11,6.75,71.34,80.65,Average,73.04,14.69
82,23,Male,3.85,1.63,1.61,1.09,2.45,7.93,88.62,58.58,Average,100.0,6.78
83,22,Female,2.18,6.1,2.04,0.59,3.24,4.75,94.9,83.81,Good,71.59,11.969999999999999
84,23,Male,5.61,3.61,4.68,0.43,0.52,7.22,79.04,100.0,Good,100.0,9.239999999999998
85,22,Male,4.52,3.97,4.01,2.0,3.25,9.26,68.05,91.32,Average,65.12,13.23
86,24,Male,5.0,5.46,5.26,0.0,1.21,6.93,78.03,100.0,Poor,87.95,11.93
87,18,Female,4.92,5.28,3.98,3.58,3.16,7.92,92.96,82.33,Good,100.0,16.0
88,22,Male,3.82,2.08,6.32,0.0,3.88,6.1,64.16,62.81,Average,64.65,12.28
89,21,Male,6.89,10.18,6.2,1.43,3.02,3.5,80.65,80.29,Average,71.09,20.83
90,21,Female,5.91,10.16,3.99,2.5,1.16,6.48,100.0,84.04,Poor,100.0,17.810000000000002
91,17,Female,6.42,3.53,5.0,2.06,1.77,6.51,100.0,84.05,Good,100.0,12.36
92,23,Male,2.89,8.23,3.21,0.92,0.26,7.66,85.65,73.98,Poor,46.2,12.620000000000001
93,19,Female,2.72,7.56,3.11,2.12,0.0,7.2,88.9,100.0,Good,74.61,12.79
94,23,Male,1.32,2.55,3.74,3.35,2.34,6.93,61.45,100.0,Good,73.71,11.98
95,25,Female,8.27,4.27,4.16,0.0,2.3,7.47,92.55,63.52,Good,100.0,10.73
96,19,Female,0.55,0.0,4.41,1.74,1.58,7.69,90.17,95.8,Average,76.5,7.73
97,21,Female,2.54,9.19,1.4,3.01,1.6,6.54,79.85,85.15,Good,61.57,15.2
98,18,Male,4.49,3.16,3.3,4.41,1.55,6.73,74.18,100.0,Good,81.0,12.42
99,23,Male,3.45,3.52,3.99,2.39,1.5,7.47,90.21,94.69,Poor,79.63,11.4
100,18,Male,3.7,5.61,4.39,2.69,3.75,8.52,71.83,76.53,Average,93.21,16.44
101,22,Male,6.77,6.14,3.57,2.14,1.99,5.27,65.47,81.71,Average,100.0,13.84
102,18,Female,6.39,3.21,3.99,1.91,2.57,9.34,97.81,76.61,Good,100.0,11.68
103,23,Female,3.13,6.58,1.76,3.49,1.42,7.79,82.77,94.86,Poor,59.78,13.25
104,25,Male,3.07,6.09,0.0,0.0,2.82,8.26,73.9,91.01,Good,78.31,8.91
105,23,Male,2.55,2.54,2.91,0.0,1.54,6.19,91.71,80.57,Average,86.57,6.99
106,22,Male,6.28,8.76,1.26,3.98,2.63,6.58,87.0,67.0,Good,77.81,16.63
107,24,Male,4.65,7.28,4.61,1.98,0.0,5.26,91.2,69.47,Average,99.26,13.870000000000001
108,22,Female,3.07,2.94,6.06,1.88,2.0,4.97,85.22,82.45,Average,80.69,12.879999999999999
109,21,Female,8.18,4.43,0.8,2.53,1.11,7.48,81.11,48.92,Poor,88.36,8.870000000000001
110,23,Female,2.33,9.11,1.71,3.98,2.35,7.47,92.16,83.5,Good,60.14,17.15
111,25,Female,6.81,8.63,4.0,4.51,2.6,7.82,89.85,84.76,Average,96.85,19.740000000000002
112,18,Male,5.61,5.34,5.29,0.75,3.95,8.75,84.87,100.0,Good,100.0,15.33
113,22,Male,5.59,6.57,4.21,1.4,2.23,5.34,76.82,66.96,Average,96.93,14.41
114,22,Female,5.67,4.79,2.05,0.66,1.92,4.6,71.23,82.68,Poor,60.26,9.42
115,25,Male,4.53,5.51,5.72,2.79,1.05,5.49,79.62,74.17,Average,91.86,15.07
116,20,Male,6.89,2.39,0.07,1.02,0.0,6.82,84.54,66.39,Good,82.73,3.4800000000000004
117,24,Male,3.75,2.53,4.43,3.89,0.57,7.06,91.49,71.56,Average,70.23,11.42
118,24,Female,7.06,6.47,3.32,5.22,1.55,6.42,90.99,60.73,Average,98.33,16.56
119,21,Female,4.77,7.96,1.07,2.07,0.6,8.21,70.73,91.4,Good,100.0,11.7
120,24,Male,5.61,0.86,4.63,1.9,0.0,8.89,100.0,82.47,Poor,83.67,7.39
121,22,Female,5.99,5.92,4.47,0.0,0.53,7.04,86.85,78.94,Good,100.0,10.92
122,23,Female,10.55,10.0,1.86,0.0,0.05,5.49,98.84,100.0,Good,100.0,11.91
123,19,Female,5.28,2.67,3.11,3.79,1.67,6.79,93.0,90.78,Average,71.74,11.24
124,17,Male,4.68,7.33,0.01,3.76,0.98,4.76,96.38,68.93,Poor,77.08,12.08
125,22,Male,1.55,3.62,1.25,1.48,2.75,8.0,78.46,47.3,Average,47.64,9.100000000000001
126,20,Male,5.64,3.74,4.51,2.06,0.98,7.38,95.18,65.64,Average,92.63,11.290000000000001
127,17,Female,8.75,3.74,3.75,4.11,0.68,6.45,88.32,76.82,Poor,100.0,12.280000000000001
128,22,Female,4.4,3.73,7.36,1.01,4.29,7.79,82.37,98.94,Average,89.25,16.39
129,24,Female,3.35,3.5,4.13,3.84,2.75,4.69,100.0,74.75,Average,77.59,14.219999999999999
130,18,Female,1.05,5.67,4.24,2.21,3.22,8.4,90.81,82.07,Good,74.86,15.34
131,25,Male,5.12,6.82,3.62,1.83,3.11,6.34,91.98,91.53,Average,96.42,15.38
132,21,Female,4.8,3.92,3.24,2.85,1.49,6.15,74.11,76.85,Good,72.87,11.5
133,17,Female,5.01,10.02,5.95,0.1,0.47,6.63,88.72,78.64,Average,74.07,16.54
134,19,Female,2.67,6.0,4.68,0.0,1.52,7.91,78.05,78.22,Average,70.31,12.2
135,17,Male,6.35,3.37,5.37,0.0,3.21,5.61,84.45,84.18,Good,96.48,11.95
136,24,Male,3.81,4.1,0.52,2.03,1.23,6.42,84.14,72.63,Average,98.76,7.879999999999999
137,23,Female,4.0,2.1,4.1,1.09,2.5,7.66,86.42,63.25,Good,57.27,9.79
138,19,Female,4.93,3.92,1.22,1.49,2.75,6.66,83.87,85.07,Average,83.9,9.379999999999999
139,22,Female,7.47,5.25,2.44,4.82,1.06,4.05,84.39,61.42,Average,91.55,13.57
140,18,Female,5.55,5.85,0.67,3.45,3.3,4.99,69.41,87.48,Good,83.6,13.27
141,17,Female,4.93,4.67,4.01,0.04,0.0,5.7,88.88,92.32,Average,100.0,8.719999999999999
142,17,Female,5.35,3.85,5.2,3.71,2.78,5.81,96.55,87.84,Good,100.0,15.54
143,18,Male,4.18,6.44,1.94,5.16,4.06,6.94,82.6,91.37,Average,82.17,17.6
144,18,Male,4.23,3.31,4.69,4.06,1.7,6.07,75.97,41.95,Average,60.15,13.76
145,22,Male,3.43,4.24,1.75,2.11,0.31,8.19,91.13,58.88,Poor,68.09,8.41
146,20,Male,4.08,3.25,5.6,4.78,3.36,4.57,79.98,58.54,Good,51.27,16.99
147,19,Female,4.07,5.53,1.97,2.63,0.07,6.58,90.11,77.73,Good,100.0,10.2
148,17,Female,5.82,9.09,3.98,1.43,2.49,5.38,88.67,84.62,Average,100.0,16.990000000000002
149,21,Female,4.21,5.54,8.3,3.71,2.05,7.93,79.84,61.9,Poor,64.01,19.6
150,25,Female,4.69,2.15,0.0,3.07,0.97,6.51,75.1,82.15,Good,97.72,6.1899999999999995
151,24,Male,7.46,4.78,2.4,0.0,1.96,6.81,100.0,72.35,Good,88.4,9.14
152,18,Male,5.47,7.99,2.13,1.52,1.71,5.63,77.39,53.98,Average,79.82,13.35
153,21,Male,2.48,5.74,4.4,1.37,2.2,8.56,80.02,84.86,Good,62.51,13.71
154,20,Male,3.14,1.1,4.88,1.92,2.06,6.59,95.88,89.21,Average,94.2,9.959999999999999
155,23,Female,4.48,2.9,3.41,3.73,0.09,7.14,100.0,91.29,Average,73.81,10.13
156,24,Female,2.78,4.24,3.68,3.35,3.63,7.92,78.06,86.91,Average,68.2,14.9
157,18,Male,5.66,9.05,4.03,3.48,0.0,5.21,72.81,85.19,Poor,96.65,16.560000000000002
158,17,Male,4.05,1.88,1.63,1.94,0.86,6.97,86.23,61.83,Good,100.0,6.31
159,19,Male,4.37,4.42,3.39,1.22,0.45,8.19,67.44,69.17,Average,73.45,9.48
160,24,Female,4.45,9.14,1.66,0.0,1.69,6.7,96.48,59.02,Average,86.46,12.49
161,17,Male,5.71,1.72,3.04,1.98,0.0,5.95,68.21,68.2,Good,100.0,6.739999999999999
162,17,Male,8.66,11.0,3.04,1.16,3.64,6.18,78.69,31.26,Average,100.0,18.84
163,25,Female,4.35,3.93,4.81,1.49,0.79,4.56,77.97,100.0,Good,78.97,11.02
164,19,Male,5.49,4.98,3.82,0.0,3.61,5.21,90.48,94.84,Poor,88.56,12.41
165,17,Male,3.59,5.44,2.45,0.0,4.24,7.01,93.45,82.66,Poor,86.98,12.13
166,22,Female,0.52,7.3,7.42,0.52,2.48,5.48,100.0,67.48,Good,34.6,17.72
167,22,Female,1.71,7.1,3.57,1.3,0.64,8.69,95.84,77.56,Average,54.63,12.61
168,17,Female,6.78,6.68,5.47,5.78,3.15,5.63,92.35,100.0,Good,94.73,21.08
169,17,Male,4.82,7.54,4.78,2.96,2.06,8.0,79.59,80.32,Poor,70.15,17.34
170,25,Female,0.6,10.38,3.95,0.0,1.94,10.0,86.42,82.88,Good,51.18,16.270000000000003
171,21,Female,3.13,4.68,3.13,2.19,3.44,6.5,100.0,78.84,Good,72.67,13.44
172,22,Male,5.7,2.94,3.48,1.31,2.36,5.39,78.26,90.17,Average,93.2,10.09
173,18,Female,6.91,9.99,3.52,2.19,1.07,7.66,65.32,81.18,Good,100.0,16.77
174,21,Female,2.91,2.85,3.85,2.62,2.16,3.5,82.37,100.0,Average,53.84,11.48
175,17,Male,1.51,7.31,1.95,0.0,2.99,6.51,86.4,65.82,Average,39.58,12.25
176,24,Female,5.1,5.44,1.34,0.0,3.87,5.46,70.0,70.77,Average,86.85,10.65
177,19,Female,4.69,7.74,0.0,0.71,0.68,5.57,83.29,88.89,Average,96.81,9.13
178,17,Male,4.53,5.21,4.1,1.78,0.6,4.13,91.7,31.2,Average,60.67,11.69
179,20,Male,5.23,7.37,0.29,2.6,3.53,5.25,93.3,70.6,Average,87.5,13.79
180,25,Female,4.73,5.0,2.77,1.61,2.45,5.59,93.96,90.13,Average,86.16,11.83
181,20,Male,6.04,6.28,3.7,2.55,3.75,7.57,91.9,86.03,Good,92.41,16.28
182,24,Male,2.46,7.7,2.89,2.35,0.0,6.36,81.14,83.8,Average,49.9,12.940000000000001
183,18,Male,3.51,4.86,6.58,1.07,1.87,6.27,83.26,88.81,Good,100.0,14.379999999999999
184,17,Female,4.89,5.54,1.51,2.82,1.84,4.15,77.07,96.71,Average,71.57,11.71
185,18,Male,2.12,2.71,2.98,2.69,2.83,7.4,91.76,100.0,Average,91.02,11.21
186,21,Male,1.09,8.2,1.47,0.7,2.71,7.61,61.01,100.0,Average,37.59,13.079999999999998
187,23,Male,2.98,8.32,3.94,1.44,2.38,4.83,95.31,93.56,Poor,43.43,16.08
188,18,Male,7.25,2.05,3.89,0.0,0.99,6.72,86.9,91.03,Average,100.0,6.93
189,17,Male,4.4,6.49,1.88,1.77,0.32,8.27,94.77,91.07,Average,91.6,10.46
190,18,Female,7.47,2.66,2.57,2.99,4.1,6.19,64.99,74.15,Average,89.7,12.32
191,17,Male,3.14,4.28,4.67,1.92,0.76,7.0,83.92,76.73,Good,89.14,11.629999999999999
192,18,Female,3.92,6.46,4.7,2.71,1.46,6.84,94.56,100.0,Average,93.7,15.330000000000002
193,25,Female,8.04,6.45,2.17,0.56,0.0,6.69,91.14,81.52,Good,100.0,9.18
194,21,Female,4.05,4.07,6.07,4.83,3.6,9.66,86.39,84.7,Average,74.38,18.57
195,18,Female,6.11,7.63,4.46,2.08,1.87,7.31,82.28,81.5,Average,100.0,16.04
196,23,Female,2.03,6.73,2.74,1.6,1.15,7.29,85.83,62.31,Average,28.37,12.22
197,25,Female,4.62,6.72,5.4,0.51,0.89,6.28,88.97,82.14,Good,100.0,13.52
198,22,Male,3.72,3.87,7.93,4.23,2.1,9.59,89.99,64.54,Average,91.41,18.13
199,19,Male,5.39,3.93,3.19,5.13,0.0,7.34,63.53,72.99,Average,98.33,12.25
200,21,Female,3.78,6.54,2.84,3.76,2.85,5.72,100.0,65.85,Average,87.56,15.989999999999998
201,24,Male,6.92,3.44,1.86,2.87,1.75,7.57,85.54,77.88,Poor,91.32,9.92
202,21,Female,2.49,4.59,1.92,0.85,1.69,5.17,87.39,57.71,Good,75.43,9.05
203,18,Female,3.62,12.33,3.56,1.99,1.52,8.74,76.44,95.3,Good,74.12,19.4
204,19,Male,6.85,6.95,4.94,3.81,5.48,7.83,89.03,86.54,Average,93.48,21.18
205,25,Female,3.16,8.3,2.81,1.71,1.41,8.06,90.23,74.9,Good,92.61,14.23
206,22,Male,3.6,7.24,5.31,1.17,2.2,5.64,78.35,46.54,Good,70.55,15.92
207,19,Male,2.88,7.51,2.72,1.93,3.01,6.64,73.64,72.16,Good,64.59,15.17
208,23,Male,2.75,7.84,5.9,0.21,1.17,7.92,73.66,76.54,Average,48.37,15.120000000000001
209,19,Female,3.97,4.12,5.19,0.85,0.0,7.72,79.09,81.91,Good,90.28,10.16
210,22,Male,5.08,8.19,5.87,5.11,2.39,5.77,100.0,61.55,Good,93.92,21.560000000000002
211,24,Female,5.18,3.77,3.79,2.44,1.64,5.25,87.38,78.08,Average,68.02,11.64
212,24,Female,5.5,4.73,0.78,1.7,3.84,5.33,93.99,85.46,Poor,80.93,11.05
213,22,Male,7.04,0.99,4.21,1.77,1.11,9.32,81.19,81.41,Average,100.0,8.08
214,22,Female,4.0,2.69,6.48,0.98,2.01,8.04,88.65,100.0,Good,100.0,12.16
215,23,Female,5.77,1.69,3.47,0.55,0.0,6.08,98.63,96.11,Average,100.0,5.710000000000001
216,17,Male,3.3,3.08,6.13,2.05,2.25,8.5,68.25,94.94,Good,82.64,13.51
217,23,Male,4.51,7.26,3.14,0.0,2.49,3.5,90.52,68.29,Average,71.51,12.89
218,21,Male,3.17,6.78,2.04,3.26,1.29,5.05,78.31,83.03,Average,77.4,13.370000000000001
219,23,Male,7.25,3.99,2.81,2.54,1.78,7.29,82.89,60.33,Average,93.97,11.120000000000001
220,19,Male,3.97,5.1,2.51,1.88,3.7,5.95,100.0,88.99,Poor,74.04,13.19
221,23,Female,4.57,4.81,0.81,1.82,0.63,6.42,80.84,88.77,Poor,82.59,8.07
222,25,Female,7.42,4.65,1.19,2.39,0.39,6.78,90.14,100.0,Average,100.0,8.620000000000001
223,24,Male,3.64,7.74,3.78,1.24,2.6,5.21,73.48,63.52,Average,86.86,15.36
224,17,Female,6.13,4.82,0.0,2.58,2.04,9.41,84.94,100.0,Good,77.03,9.440000000000001
225,22,Female,7.9,3.26,1.95,0.0,1.82,6.96,96.43,78.09,Average,100.0,7.029999999999999
226,25,Female,7.47,5.73,4.5,4.93,0.3,6.6,63.75,100.0,Average,100.0,15.46
227,24,Female,4.07,4.18,3.51,1.67,1.61,10.0,77.54,79.44,Average,90.59,10.969999999999999
228,24,Male,2.45,6.61,1.82,0.41,3.2,6.38,77.13,85.13,Average,89.87,12.04
229,23,Male,6.46,6.72,0.69,1.4,2.0,7.77,91.29,98.77,Poor,100.0,10.809999999999999
230,19,Male,4.62,2.58,3.08,2.79,1.22,7.64,99.8,83.97,Good,100.0,9.67
231,22,Female,4.29,6.06,5.14,5.35,1.42,7.38,89.03,100.0,Good,96.55,17.97
232,23,Female,0.0,5.17,6.43,0.0,3.13,7.98,74.23,82.88,Average,66.24,14.729999999999999
233,18,Male,2.1,7.03,3.09,2.19,1.46,10.0,73.02,100.0,Average,34.32,13.77
234,20,Male,0.69,2.9,2.04,1.61,1.47,6.93,67.62,63.17,Average,50.26,8.02
235,21,Male,5.08,4.25,6.42,3.56,2.73,3.88,76.82,72.24,Good,75.37,16.96
236,17,Female,3.58,0.0,5.52,2.02,1.11,7.28,85.67,75.24,Poor,77.29,8.649999999999999
237,20,Female,5.27,5.74,0.0,3.22,0.0,7.92,86.46,96.77,Good,99.42,8.96
238,22,Male,6.04,2.99,1.94,3.92,1.88,8.93,68.21,83.02,Poor,65.98,10.73
239,23,Male,7.09,8.94,4.4,0.25,3.18,4.44,75.3,77.8,Average,86.46,16.77
240,21,Female,3.07,6.88,2.79,0.0,0.42,7.82,100.0,58.94,Good,100.0,10.09
241,17,Male,3.85,4.79,1.46,1.08,2.2,5.17,90.5,44.31,Average,75.66,9.530000000000001
242,21,Female,7.27,6.76,4.73,0.0,0.0,6.22,91.79,56.73,Good,100.0,11.49
243,18,Male,2.72,5.17,5.51,1.48,2.89,5.68,81.52,82.7,Average,78.97,15.05
244,22,Male,4.15,3.88,2.25,3.61,2.99,6.76,100.0,60.46,Average,87.33,12.73
245,19,Male,5.08,4.69,5.09,0.44,1.67,7.85,62.93,71.75,Good,84.8,11.89
246,21,Male,4.79,1.49,0.0,2.21,1.51,5.73,60.67,84.72,Good,100.0,5.21
247,25,Female,3.51,5.93,3.75,4.19,4.33,7.54,77.94,89.88,Poor,33.57,18.2
248,24,Male,3.49,1.67,2.09,3.66,2.62,7.95,92.68,81.35,Average,97.03,10.040000000000001
249,22,Male,4.77,5.37,5.22,2.96,2.85,7.02,93.39,72.64,Average,86.89,16.4
250,24,Female,2.95,6.78,1.49,2.86,1.27,7.14,72.89,80.88,Good,73.53,12.399999999999999
251,22,Male,6.6,9.29,2.55,2.65,1.61,7.15,73.66,77.9,Good,100.0,16.099999999999998
252,20,Male,3.3,4.59,1.79,0.39,2.36,7.81,89.8,65.17,Good,100.0,9.129999999999999
253,24,Male,7.25,3.14,5.89,2.25,2.3,7.36,95.33,69.05,Average,97.46,13.580000000000002
254,23,Female,5.76,5.1,3.38,0.27,1.52,8.38,74.57,95.23,Poor,88.59,10.27
255,19,Female,3.64,5.76,4.13,1.03,2.44,5.89,93.26,78.64,Poor,66.31,13.36
256,20,Female,4.56,5.21,6.01,1.78,0.28,6.9,76.93,73.56,Good,92.52,13.280000000000001
257,18,Female,4.04,7.48,4.85,3.69,0.38,8.42,76.6,71.56,Good,100.0,16.4
258,18,Female,4.76,0.0,2.72,1.14,0.0,7.66,72.23,70.72,Average,83.9,3.8600000000000003
259,25,Female,4.25,4.96,1.73,2.66,2.41,4.68,74.01,90.65,Average,69.36,11.760000000000002
260,21,Male,0.95,6.86,1.93,0.18,0.84,4.21,76.22,70.33,Average,42.58,9.81
261,19,Male,3.55,2.87,4.07,0.0,1.33,7.71,94.41,73.68,Good,81.73,8.27
262,18,Male,3.44,8.11,2.58,2.61,1.59,8.82,73.16,73.71,Poor,59.86,14.889999999999999
263,24,Male,2.95,7.25,5.57,3.09,0.0,7.2,78.43,69.05,Poor,51.83,15.91
264,17,Male,3.57,5.85,2.11,2.26,2.98,6.66,98.63,96.8,Good,100.0,13.2
265,25,Male,3.65,4.26,2.4,1.33,0.14,7.42,87.91,72.58,Average,93.26,8.129999999999999
266,25,Male,7.16,2.93,3.12,1.18,3.23,9.42,81.8,80.72,Good,100.0,10.459999999999999
267,18,Female,2.83,6.08,3.14,0.0,3.45,6.56,77.43,84.8,Poor,70.55,12.67
268,19,Male,7.52,6.68,7.61,3.73,3.18,6.7,85.93,91.93,Average,65.52,21.2
269,20,Female,0.44,3.78,1.93,2.88,2.23,8.85,85.24,81.65,Average,53.12,10.819999999999999
